__LAMDA 	 __MU 
0.2 	 0.3 

# Replication 	 Delay Mean 
204 	 3.329635595350658 
205 	 3.3337973075568805 
206 	 3.3414823960744737 
207 	 3.3261944694537786 
208 	 3.31466184961002 
209 	 3.320481703025917 
210 	 3.326118947912099 
211 	 3.3381845094773306 
212 	 3.3489357621185856 
213 	 3.3353403571883407 
214 	 3.340763331585796 
215 	 3.320650937224836 
216 	 3.345068126651107 
217 	 3.3574149229521724 
218 	 3.3229848409038056 
219 	 3.3268056397391295 
220 	 3.3371871159010906 
221 	 3.3462177669379645 
222 	 3.338254195336889 
223 	 3.3408774932065306 
224 	 3.333668645830318 
225 	 3.3324007401038322 
226 	 3.3305179798459204 
227 	 3.358103043084825 
228 	 3.3462946407361276 
229 	 3.3488507374607117 
230 	 3.3416901232570346 
231 	 3.3442045267996856 
232 	 3.3298252815357583 
233 	 3.3425054793513795 
234 	 3.3280772074762552 
235 	 3.3132642900224645 
236 	 3.3331550248993906 
237 	 3.320557110477923 
238 	 3.3360913340493883 
239 	 3.330971037866045 
240 	 3.332949355789893 
241 	 3.347125312775801 
242 	 3.323677892906883 
243 	 3.3364392215441967 
244 	 3.32839267257971 
245 	 3.3152217377112505 
246 	 3.3355650566048918 
247 	 3.3242577472048356 
248 	 3.33772617706805 
249 	 3.3401143218577385 
250 	 3.355044143380528 
251 	 3.3490186337149948 
252 	 3.32524669138348 
253 	 3.340643420729456 
254 	 3.317345234678796 
255 	 3.344800123074699 
256 	 3.3260968877149764 
257 	 3.332989453229774 
258 	 3.3402562909186737 
259 	 3.3241531292404356 
260 	 3.340743633588553 
261 	 3.3451896962660794 
262 	 3.3562323054876226 
263 	 3.3314877313824596 
264 	 3.3278072032080113 
265 	 3.336297697961647 
266 	 3.3145023512824916 
267 	 3.3351229718451854 
268 	 3.3471718376831783 
269 	 3.336736031114683 
270 	 3.346459153536017 
271 	 3.3447454788805087 
272 	 3.342548943750142 
273 	 3.3212026094830898 
274 	 3.3240524164372087 
275 	 3.3207000087462175 
276 	 3.336576045093066 
277 	 3.334790169862099 
278 	 3.327146871888025 
279 	 3.324694394616088 
280 	 3.332666597976455 
281 	 3.3317459983139632 
282 	 3.3316225534003387 
283 	 3.3250602668895755 
284 	 3.328271887401841 
285 	 3.325906870101565 
286 	 3.325687203107096 
287 	 3.338607173126045 
288 	 3.3401274977284072 
289 	 3.3406406689675885 
290 	 3.347046854223805 
291 	 3.3236846399550695 
292 	 3.3460773095181997 
293 	 3.336559858376444 
294 	 3.3285538864196242 
295 	 3.333514255193817 
296 	 3.3401078127258117 
297 	 3.3456128759044055 
298 	 3.321796063645393 
299 	 3.324659818482589 
300 	 3.3417346786384896 
301 	 3.346225661772295 
302 	 3.3358096574138045 
303 	 3.3277653140026167 
304 	 3.3212074420107096 
305 	 3.3501353732473143 
306 	 3.324720415035641 
307 	 3.329661047226389 
308 	 3.3368785839232835 
309 	 3.3117353139765062 
310 	 3.3269840304497666 
311 	 3.3467063479485333 
312 	 3.325413554049474 
313 	 3.3446243590730376 
314 	 3.3351866067609093 
315 	 3.3355694227565524 
316 	 3.346646994757413 
317 	 3.3413398690813176 
318 	 3.3332527275657626 
319 	 3.3149085570055714 
320 	 3.3324211284886087 
321 	 3.3355562238556784 
322 	 3.3293104183413376 
323 	 3.332474599137848 
324 	 3.33890615233278 
325 	 3.337491455260789 
326 	 3.347533603350265 
327 	 3.336159881358707 
328 	 3.332710832028568 
329 	 3.314714546755314 
330 	 3.3305953226426586 
331 	 3.3365609437721417 
332 	 3.332930174739193 
333 	 3.3327966151845656 
334 	 3.3277505265645435 
335 	 3.340580813159385 
336 	 3.3478937755661873 
337 	 3.341990488246014 
338 	 3.320074767262316 
339 	 3.338050915593707 
340 	 3.3519236880325676 
341 	 3.3404395303077687 
342 	 3.335151201169401 
343 	 3.3400386493837475 
344 	 3.3290175272684754 
345 	 3.33992910330912 
346 	 3.3376658577957907 
347 	 3.327739144065344 
348 	 3.3361188861459437 
349 	 3.3354277613897416 
350 	 3.3415486949765443 
351 	 3.335857824545332 
352 	 3.342561943613473 
353 	 3.331440748758019 
354 	 3.343746333436299 
355 	 3.33333256675571 
356 	 3.333966210352696 
357 	 3.344929081460272 
358 	 3.3242882080026006 
359 	 3.327432457175623 
360 	 3.3281734362250597 
361 	 3.337128093103121 
362 	 3.3137936946410083 
363 	 3.3289051109942944 
364 	 3.3283065520081845 
365 	 3.337347392395059 
366 	 3.322092349193201 
367 	 3.335005075670418 
368 	 3.346468594085981 
369 	 3.3261491825688045 
370 	 3.321204343159634 
371 	 3.3158692417628326 
372 	 3.3136562448884046 
373 	 3.3392460894514047 
374 	 3.3326231889399174 
375 	 3.3385690610093954 
376 	 3.3266858810593045 
377 	 3.3175648564075555 
378 	 3.3276463123311912 
379 	 3.36053426626527 
380 	 3.3302645558375983 
381 	 3.3248558406360282 
382 	 3.335925546370526 
383 	 3.325798742501001 
384 	 3.322841382564806 
385 	 3.335399254087928 
386 	 3.335584667817269 
387 	 3.3288821660892793 
388 	 3.349368249445794 
389 	 3.335290048331563 
390 	 3.32792791936339 
391 	 3.3361534145353042 
392 	 3.3240523526175565 
